Date;23-9-2021;;;;;;;;;;;
Type;MAJOR FLAG;STOCK TYPE;QUOTE INDICATOR;GEOGRAPHIC DESCR.;GEOG DESC OF LSTNG;CURRENCY;ISIN ISSUER CTRY;NAME;FULL NAME;COMPANY NAME;ISIN CODE;CURRENCY
508815;Y;UT;P;NETHERLANDS;NA;E;NL;DELTA LLOYD DEELNEMINGEN FONDS;DELTA LLOYD DEELNEMINGEN FONDS;DELTA LLOYD DEELNEMINGEN;NL0000288389;E 
68214F;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DELTA LLOYD GROUP DEAD - DEAD 01/06/17;DELTA LLOYD GROUP DEAD - DEAD 01/06/17;DELTA LLOYD GROUP NV;NL0009294552;E 
27187M;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;DELTA LLOYD JADE FONDS N V;DELTA LLOYD JADE FONDS N V;DELTA LLOYD JADE FONDS N;NA;E 
26610D;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;DELTA LLOYD VEST.;DELTA LLOYD VESTEGNENS;DELTA LLOYD VESTEGNENS;NA;E 
921055;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;DESSEAUX TAPIJT. DEAD - DELIST.04/01/93;DESSEAUX TAPIJTFABRIEK DEAD - DELIST.04/01/93;DESSEAUX TAPIJTFABRIEK;NA;FL
695495;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DETRON GROUP DEAD - DELIST.11/08/00;DETRON GROUP DEAD - DELIST.11/08/00;DETRON GROUP;NL0000347805;E 
695515;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DEVOTE DEAD - DELIST 26/09/01;DEVOTE DEAD - DELIST 26/09/01;DEVOTE;NL0000346443;E 
932783;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DGB GROUP;DGB GROUP;DGB GROUP NV;NL0009169515;E 
273493;Y;EQ;P;NETHERLANDS;NETHERLANDS;U$;NL;DIM VASTGOED DEAD - 02/08/10;DIM VASTGOED DEAD - 02/08/10;DIM VASTGOED;NL0000284750;U$
27507Q;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;DMV CAMPINA B V DEAD - DEAD;DMV CAMPINA B V DEAD - DEAD;DMV CAMPINA B V;NA;E 
